Time [s],Channel 6,Channel 7
-0.010000000,0,0
0.000000000,0,1
0.000074688,1,0
0.000643750,0,0
0.019120438,0,1
0.019194875,1,0
0.019757375,0,0
0.035204938,0,1
0.035279375,1,0
0.035841563,0,0
0.051212875,0,1
0.051287313,1,0
0.051849563,0,0
0.067255688,0,1
0.067330125,1,0
0.067892250,0,0
0.083204250,0,1
0.083278688,1,0
0.083840875,0,0
0.099220938,0,1
0.099295375,1,0
0.099857375,0,0
0.115496875,0,1
0.115571313,1,0
0.116133500,0,0
0.131357250,0,1
0.131431688,1,0
0.131993688,0,0
0.147219125,0,1
0.147293500,1,0
0.147855688,0,0
0.163390938,0,1
0.163465375,1,0
0.164027750,0,0
0.179217813,0,1
0.179292250,1,0
0.179854375,0,0
0.195217063,0,1
0.195291500,1,0
0.195853625,0,0
0.211233813,0,1
0.211308188,1,0
0.211870125,0,0
0.227596688,0,1
0.227671125,1,0
0.228233313,0,0
0.243215250,0,1
0.243289688,1,0
0.243851813,0,0
0.259197188,0,1
0.259271563,1,0
0.259833563,0,0
0.275525125,0,1
0.275599563,1,0
0.276161563,0,0
0.291213313,0,1
0.291287750,1,0
0.291849688,0,0
0.307221188,0,1
0.307295625,1,0
0.307857688,0,0
0.323644813,0,1
0.323719250,1,0
0.324281313,0,0
0.339289375,0,1
0.339363813,1,0
0.339925938,0,0
0.355228125,0,1
0.355302625,1,0
0.355864750,0,0
0.371262188,0,1
0.371336625,1,0
0.371898563,0,0
0.387313625,0,1
0.387388063,1,0
0.387950000,0,0
0.403260938,0,1
0.403335375,1,0
0.403897438,0,0
0.419373125,0,1
0.419447563,1,0
0.420009625,0,0
0.435389875,0,1
0.435464313,1,0
0.436026313,0,0
0.451250313,0,1
0.451324688,1,0
0.451886750,0,0
0.467223625,0,1
0.467298063,1,0
0.467860063,0,0
0.483474750,0,1
0.483549188,1,0
0.484111125,0,0
0.500097813,0,1
0.500172250,1,0
0.500734375,0,0
0.515412625,0,1
0.515487063,1,0
0.516049188,0,0
0.531368625,0,1
0.531443063,1,0
0.532005125,0,0
0.547394063,0,1
0.547468438,1,0
0.548030500,0,0
0.563211125,0,1
0.563285500,1,0
0.563847688,0,0
0.579201750,0,1
0.579276188,1,0
0.579838125,0,0
0.595357375,0,1
0.595431813,1,0
0.595993688,0,0
0.611226563,0,1
0.611301000,1,0
0.611863063,0,0
0.627295313,0,1
0.627369688,1,0
0.627931813,0,0
0.643442313,0,1
0.643516750,1,0
0.644078688,0,0
0.659242125,0,1
0.659316563,1,0
0.659878813,0,0
0.675319563,0,1
0.675394000,1,0
0.675956188,0,0
0.691266688,0,1
0.691341125,1,0
0.691903313,0,0
0.707379063,0,1
0.707453563,1,0
0.708015563,0,0
0.723317563,0,1
0.723392000,1,0
0.723954000,0,0
0.739240000,0,1
0.739314375,1,0
0.739876563,0,0
0.755515875,0,1
0.755590313,1,0
0.756152250,0,0
0.771428500,0,1
0.771503000,1,0
0.772065000,0,0
0.787307563,0,1
0.787382000,1,0
0.787944000,0,0
0.803254750,0,1
0.803329188,1,0
0.803891188,0,0
0.819193438,0,1
0.819267875,1,0
0.819830000,0,0
0.835305625,0,1
0.835380063,1,0
0.835942188,0,0
0.851313688,0,1
0.851388063,1,0
0.851950188,0,0
0.867347750,0,1
0.867422187,1,0
0.867984188,0,0
0.883303688,0,1
0.883378125,1,0
0.883940188,0,0
0.899970375,0,1
0.900044813,1,0
0.900606938,0,0
0.915224375,0,1
0.915298813,1,0
0.915860750,0,0
0.931423375,0,1
0.931497750,1,1
0.931497813,1,0
0.932060063,0,0
0.947353313,0,1
0.947427750,1,0
0.947989688,0,0
0.963248437,0,1
0.963322875,1,0
0.963884875,0,0
0.979230438,0,1
0.979304875,1,0
0.979866812,0,0
0.995351375,0,1
0.995425813,1,0
0.995987875,0,0
1.011342000,0,1
1.011416438,1,0
1.011978562,0,0
1.027228438,0,1
1.027302875,1,0
1.027864938,0,0
1.043210563,0,1
1.043285000,1,0
1.043847000,0,0
1.059418188,0,1
1.059492563,1,0
1.060054625,0,0
1.075426313,0,1
1.075500688,1,0
1.076062750,0,0
1.091330188,0,1
1.091404625,1,0
1.091966813,0,0
1.107468375,0,1
1.107542813,1,0
1.108104813,0,0
1.123302813,0,1
1.123377250,1,0
1.123939250,0,0
1.139432500,0,1
1.139506938,1,0
1.140069125,0,0
1.155370937,0,1
1.155445375,1,0
1.156007375,0,0
1.171361625,0,1
1.171436063,1,0
1.171998000,0,0
1.187335000,0,1
1.187409375,1,0
1.187971625,0,0
1.203265000,0,1
1.203339438,1,0
1.203901500,0,0
1.219568125,0,1
1.219642500,1,0
1.220204688,0,0
1.235359000,0,1
1.235433438,1,0
1.235995563,0,0
1.251262938,0,1
1.251337375,1,0
1.251899438,0,0
1.267392625,0,1
1.267467063,1,0
1.268029125,0,0
1.283400563,0,1
1.283475000,1,0
1.284036875,0,0
1.299217688,0,1
1.299292125,1,0
1.299854063,0,0
1.315399375,0,1
1.315473813,1,0
1.316035875,0,0
1.331294438,0,1
1.331368875,1,0
1.331931000,0,0
1.347250438,0,1
1.347324875,1,0
1.347886875,0,0
1.363267188,0,1
1.363341563,1,0
1.363903625,0,0
1.379362125,0,1
1.379436563,1,0
1.379998563,0,0
1.395300688,0,1
1.395375125,1,0
1.395937000,0,0
1.411742750,0,1
1.411817188,1,0
1.412379188,0,0
1.427325375,0,1
1.427399813,1,0
1.427961750,0,0
1.443385563,0,1
1.443460000,1,0
1.444022000,0,0
1.459384813,0,1
1.459459250,1,0
1.460021188,0,0
1.475419000,0,1
1.475493438,1,0
1.476055563,0,0
1.491583250,0,1
1.491657625,1,0
1.492219688,0,0
1.507643375,0,1
1.507717813,1,0
1.508279750,0,0
1.523573313,0,1
1.523647750,1,0
1.524210125,0,0
1.539494500,0,1
1.539568938,1,0
1.540131125,0,0
1.555234750,0,1
1.555309188,1,0
1.555871313,0,0
1.571216688,0,1
1.571291125,1,0
1.571853313,0,0
1.587415688,0,1
1.587490125,1,0
1.588052438,0,0
1.603302313,0,1
1.603376750,1,0
1.603938750,0,0
1.619214812,0,1
1.619289188,1,0
1.619851188,0,0
1.635257625,0,1
1.635332063,1,0
1.635894000,0,0
1.651317750,0,1
1.651392125,1,0
1.651954188,0,0
1.667377875,0,1
1.667452313,1,0
1.668014375,0,0
1.683290313,0,1
1.683364750,1,0
1.683927000,0,0
1.699498063,0,1
1.699572500,1,0
1.700134625,0,0
1.715306375,0,1
1.715380813,1,0
1.715942750,0,0
1.731505375,0,1
1.731579813,1,0
1.732141813,0,0
